Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2021,Dodge,Challenger R/T,Used,"$33,995",Dealer,TX,Gray,Rear-wheel Drive,15,23,Gasoline,8-Speed Automatic
2016,Mazda,CX-5 Grand Touring,Used,"$18,950",Dealer,NE,Black,All-wheel Drive,24,30,Gasoline,6-Speed Automatic
2015,Honda,Accord EX-L,Used,"$21,998",Dealer,TX,Black,Front-wheel Drive,21,34,Gasoline,6-Speed Automatic
2017,Chevrolet,Camaro 2SS,Used,"$29,995",Dealer,TX,Adrenaline Red,Rear-wheel Drive,16,25,Gasoline,8-Speed Automatic
2017,Nissan,Rogue S,Used,"$16,985",Dealer,MN,Gray,All-wheel Drive,25,32,Gasoline,Automatic CVT
2019,Toyota,Highlander SE,Used,"$39,368",Dealer,AR,Almond,Front-wheel Drive,21,27,Gasoline,8-Speed Automatic
2019,Chevrolet,Cruze LS,Used,"$21,998",Dealer,MO,Jet Black,Front-wheel Drive,28,38,Gasoline,6-Speed Automatic
2018,Chevrolet,Traverse Premier,Used,"$36,525",Dealer,IL,Jet Black,Front-wheel Drive,18,27,Gasoline,9-Speed Automatic
2020,Nissan,Murano SV,Used,"$27,289",Dealer,LA,Graphite,Front-wheel Drive,20,28,Gasoline,Automatic CVT
2019,BMW,540 i xDrive,Used,"$47,805",Dealer,IL,Black,All-wheel Drive,21,29,Gasoline,8-Speed Automatic
2021,Volkswagen,Atlas 3.6L SEL Premium,Used,"$49,500",Dealer,IL,Titan Black / Quarzit,All-wheel Drive,16,22,Gasoline,8-Speed Automatic
2015,Chevrolet,Tahoe LTZ,Used,"$28,850",Dealer,WI,Cocoa / Dune,Four-wheel Drive,16,22,Gasoline,6-Speed Automatic
2020,Honda,Civic Sport,Used,"$19,800",Dealer,WI,Black,Front-wheel Drive,29,37,Gasoline,Automatic
2021,Honda,Pilot Special Edition,Used,"$43,171",Dealer,IN,Gray,All-wheel Drive,19,26,Gasoline,9-Speed Automatic
2017,Hyundai,Tucson SE,Used,"$18,550",Dealer,IN,Gray,All-wheel Drive,21,26,Gasoline,6-Speed Automatic
2019,Buick,Enclave Essence,Used,"$34,856",Dealer,OH,Shale,Front-wheel Drive,18,26,Gasoline,9-Speed Automatic
2019,Buick,Enclave Essence,Used,"$34,888",Dealer,OH,Dark Galvanized,Front-wheel Drive,18,26,Gasoline,9-Speed Automatic
2015,Jeep,Wrangler Unlimited Sport,Used,"$26,455",Dealer,GA,Black,Four-wheel Drive,16,21,Gasoline,5-Speed Automatic
2020,Buick,Enclave Essence,Used,"$36,500",Dealer,MI,Dark Galvanized,Front-wheel Drive,18,26,Gasoline,9-Speed Automatic
2018,BMW,X5 M Base,Used,"$70,996",Dealer,GA,Aragon Brown,All-wheel Drive,14,19,Gasoline,8-Speed Automatic
2021,Genesis,GV80 2.5T,Used,"$55,841",Dealer,GA,Black,Rear-wheel Drive,21,25,Gasoline,8-Speed Automatic
