Year,Make,Model,Used/New,Price,SellerType,State,InteriorColor,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission
2021,Honda,Pilot EX-L,Used,"$34,071",Dealer,FL,Black,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2020,Ford,EcoSport S,Used,"$8,995",Dealer,VA,Medium Stone,Four-wheel Drive,23,29,Gasoline,6-Speed Automatic
2019,BMW,X5 xDrive40i,Used,"$56,438",Dealer,NC,Black,All-wheel Drive,20,26,Gasoline,8-Speed Automatic
2004,Ford,F-150 XLT SuperCrew,Used,"$7,990",Dealer,VA,Gray,Four-wheel Drive,14,18,Gasoline,4-Speed Automatic
2019,Mazda,CX-5 Grand Touring,Used,"$30,995",Dealer,NY,Black,All-wheel Drive,24,30,Gasoline,6-Speed Automatic
2019,Audi,RS 5 2.9T,Used,"$77,895",Dealer,VA,Black / Crescendo Red,All-wheel Drive,18,27,Gasoline,8-Speed Automatic
2013,BMW,X3 xDrive28i,Used,"$13,750",Dealer,VA,Beige,All-wheel Drive,21,28,Gasoline,8-Speed Automatic
2015,Volkswagen,Golf TSI S 2-Door,Used,"$16,500",Dealer,VA,Titan Black,Front-wheel Drive,25,37,Gasoline,5-Speed Manual
2016,Audi,A7 3.0T Prestige,Used,"$33,995",Dealer,VA,Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,"$57,427",Dealer,MD,Espresso Brown,All-wheel Drive,16,22,Gasoline,9-Speed Automatic
2020,Toyota,Avalon XSE,Used,"$40,591",Dealer,MD,Black,Front-wheel Drive,22,31,Gasoline,8-Speed Automatic
2019,Mercedes-Benz,CLA 250 Base,Used,"$28,990",Dealer,FL,Black,Front-wheel Drive,24,37,Gasoline,7-Speed Automatic with Auto-Shift
2019,Lexus,RX 350 350,Used,"$46,788",Dealer,FL,Gray,Front-wheel Drive,20,28,Gasoline,8-Speed Automatic
2020,BMW,X3 xDrive30i,Used,"$43,052",Dealer,NJ,Cognac,All-wheel Drive,24,29,Gasoline,8-Speed Automatic
2019,BMW,330 i xDrive,Used,"$29,595",Dealer,NJ,Canberra Beige,All-wheel Drive,25,34,Gasoline,8-SPEED A/T
2019,Mercedes-Benz,S-Class S 560 4MATIC,Used,"$52,998",Dealer,NY,Brown,All-wheel Drive,17,27,Gasoline,9-Speed Automatic
2019,Subaru,Crosstrek 2.0i Premium,Used,"$25,999",Dealer,NY,Gray,All-wheel Drive,27,33,Gasoline,Automatic CVT
2018,Honda,Accord Touring 2.0T,Used,"$31,500",Dealer,NY,Black,Front-wheel Drive,22,32,Gasoline,10-Speed Automatic
2019,BMW,540 i xDrive,Used,"$39,950",Dealer,NY,Cognac,All-wheel Drive,21,29,Gasoline,8-Speed Automatic
2020,GMC,Sierra 1500 Elevation,Used,"$39,999",Dealer,VT,Black,Four-wheel Drive,19,22,Gasoline,8-Speed Automatic
2011,Volkswagen,Jetta SE,Used,"$5,999",Dealer,CT,Titan Black,Front-wheel Drive,24,31,Gasoline,6-Speed Automatic
2012,Volkswagen,Tiguan SE,Used,"$10,995",Dealer,CT,Black,All-wheel Drive,21,27,Gasoline,6-Speed Automatic
2016,BMW,X3 xDrive28i,Used,"$25,985",Dealer,CT,Sand Beige,All-wheel Drive,21,28,Gasoline,8-Speed Automatic
2019,Toyota,Corolla SE,Used,"$23,998",Dealer,NH,Black,Front-wheel Drive,28,35,Gasoline,Automatic CVT
2019,MINI,Convertible Cooper,Used,"$26,975",Dealer,MA,Black,Front-wheel Drive,28,37,Gasoline,6-Speed Automatic
2020,Audi,Q5 45 Premium,Used,"$37,900",Dealer,CA,Black,All-wheel Drive,22,28,Gasoline,7-Speed Automatic with Auto-Shift
2018,Mazda,Mazda3 Sport,Used,"$18,807",Dealer,CA,Black,Front-wheel Drive,28,37,Gasoline,6-Speed Automatic
2019,Alfa,Romeo Stelvio Ti Sport,Used,"$34,495",Dealer,CA,Sport,All-wheel Drive,22,28,Gasoline,8-Speed Automatic
2017,Kia,Sorento LX,Used,"$18,995",Dealer,CA,Satin Black,Front-wheel Drive,21,28,Gasoline,6-Speed Automatic
2018,Audi,Q5 2.0T Premium Plus,Used,"$34,998",Dealer,CA,Black,All-wheel Drive,23,27,Gasoline,7-Speed Automatic with Auto-Shift
2019,Audi,A6 55 Premium Plus,Used,"$46,177",Dealer,NV,Black,All-wheel Drive,22,29,Hybrid,7-Speed Automatic with Auto-Shift
2020,Acura,MDX 3.5L w/Technology Package,Used,"$42,999",Dealer,CA,Ebony,Front-wheel Drive,20,27,Gasoline,9-Speed Automatic
2019,BMW,X1 sDrive28i,Used,"$31,998",Dealer,CA,Oyster / Black,Front-wheel Drive,23,32,Gasoline,8-Speed Automatic
2016,Lexus,NX 200t Base,Used,"$28,998",Dealer,AZ,Black,Front-wheel Drive,22,28,Gasoline,6-Speed Automatic
2021,Ford,Explorer XLT,Used,"$45,989",Dealer,ID,Ebony With Light Slate Uppers,Four-wheel Drive,20,27,Gasoline,Automatic
2017,Dodge,Charger SRT 392,Used,"$45,991",Dealer,KS,Black,Rear-wheel Drive,15,25,Gasoline,8-Speed Automatic
2016,Ford,F-150 Lariat,Used,"$33,980",Dealer,OK,Black,Four-wheel Drive,15,21,E85 Flex Fuel,6-Speed Automatic
2020,Hyundai,Santa Fe Limited 2.0T,Used,"$37,993",Dealer,TX,Black,Front-wheel Drive,20,27,Gasoline,8-Speed Automatic
2019,Volvo,XC60 T5 Momentum,Used,"$42,962",Dealer,TX,Charcoal,All-wheel Drive,20,27,Gasoline,8-Speed Automatic
2020,Acura,TLX FWD,Used,"$33,899",Dealer,TX,Ebony,Front-wheel Drive,23,33,Gasoline,8-Speed Automatic with Auto-Shift
2016,Hyundai,Veloster Turbo,Used,"$13,999",Dealer,TX,Black,Front-wheel Drive,27,33,Gasoline,7-Speed Automatic with Auto-Shift
2021,Toyota,Sienna XSE 7 Passenger,Used,"$64,991",Dealer,TX,Graphite,Front-wheel Drive,36,36,Hybrid,Automatic CVT
2017,Lincoln,MKZ Hybrid Reserve,Used,"$27,993",Dealer,TX,Ebony,Front-wheel Drive,41,38,Hybrid,Automatic CVT
2020,Nissan,Rogue SL,Used,"$30,991",Dealer,TX,Beige,Front-wheel Drive,26,33,Gasoline,Automatic CVT
2016,Ford,Explorer Limited,Used,"$22,000",Private,TX,Beige,Front-wheel Drive,17,24,Flex Fuel Capability,Transmission w/Dual Shift Mode
2017,Chevrolet,Equinox LT,Used,"$18,495",Dealer,TX,Jet Black,Front-wheel Drive,21,31,Gasoline,6-Speed Automatic
2014,Mercedes-Benz,E-Class E 350,Used,"$23,491",Dealer,TX,Sport,RWD,21,30,Gasoline,7-Speed Automatic
2019,Mazda,CX-9 Touring,Used,"$32,998",Dealer,MN,Black,All-wheel Drive,20,26,Gasoline,Automatic
2019,Subaru,Impreza 2.0i Sport,Used,"$21,498",Dealer,MN,Black,All-wheel Drive,27,36,Gasoline,Automatic CVT
2017,Subaru,Forester 2.5i Premium,Used,"$17,854",Dealer,MN,Gray,All-wheel Drive,26,32,Gasoline,Automatic CVT
2013,Audi,A6 2.0T Premium Plus quattro,Used,"$19,990",Dealer,MN,Black,All-wheel Drive,20,30,Gasoline,8-Speed Automatic
2017,Volvo,XC60 T6 Dynamic,Used,"$26,998",Dealer,MN,Off Black,All-wheel Drive,19,27,Gasoline,8-Speed Automatic
2021,Jeep,Grand Cherokee 80th Anniversary,Used,"$45,700",Private,MO,Black,Four-wheel Drive,18,25,Gasoline Fuel,8-Speed A/T
2019,Jeep,Grand Cherokee Limited,Used,"$37,690",Dealer,MO,Black,Four-wheel Drive,18,25,Gasoline,Automatic
2016,Toyota,Highlander Limited,Used,"$28,995",Dealer,KY,Black,Front-wheel Drive,19,25,Gasoline,6-Speed Automatic
2019,Ford,F-150 Raptor,Used,"$51,951",Dealer,IL,Blue,Four-wheel Drive,15,18,Gasoline,10-Speed Automatic
2016,Toyota,4Runner SR5 Premium,Used,"$33,499",Dealer,IL,Black / Graphite,Four-wheel Drive,17,21,Gasoline,5-Speed Automatic
2015,Toyota,RAV4 Limited,Used,"$27,450",Dealer,IL,Terracotta,All-wheel Drive,22,29,Gasoline,Automatic
2019,Audi,Q8 3.0T Premium,Used,"$69,095",Dealer,IL,Black,All-wheel Drive,17,22,Gasoline,8-Speed Automatic
2018,BMW,X3 xDrive30i,Used,"$39,995",Dealer,IL,Black,All-wheel Drive,22,29,Gasoline,8-Speed Automatic
2019,Audi,SQ5 3.0T Premium,Used,"$50,000",Dealer,IL,Black,All-wheel Drive,19,24,Gasoline,8-Speed Automatic
2016,Lexus,IS 300 Base,Used,"$24,995",Dealer,GA,Black,All-wheel Drive,19,26,Gasoline,6-Speed Automatic
2018,Mercedes-Benz,GLS 450 Base 4MATIC,Used,"$50,906",Dealer,GA,Black,All-wheel Drive,17,22,Gasoline,9-Speed Automatic
2021,Lexus,NX 300 Base,Used,"$40,788",Dealer,GA,Cream,Front-wheel Drive,22,28,Gasoline,6-Speed Automatic
2019,Lincoln,MKZ Reserve I,Used,"$33,500",Dealer,MI,Cappuccino,All-wheel Drive,20,29,Gasoline,6-Speed Automatic
